ADDRESS,STREET_NAME,POSTCODE,SALE_PRICE,HOUSE_TYPE,FREEHOLD/LEASEHOLD,RES_NEW/OLD,SALE_DATE,BEDROOMS,STATIONDIST_MILES
5a Station Road, Hampton Wick ,KT1 4HG,500000,Flat, Freehold, Residential,01-Feb-16,1,
9 Brooklands Court, Surbiton Road ,KT1 2HE,345000,Flat, Leasehold, Residential,01-Feb-16,,
440 Dollary Court, Kingston Road ,KT1 3PB,225000,Flat, Leasehold, Residential,01-Feb-16,,
Flat 48 Stevens House, Jerome Place ,KT1 1HX,610000,Flat, Leasehold, Residential,01-Feb-16,2,0.3
Flat 410, Springfield Road ,KT1 2SA,332510,Flat, Leasehold, Residential,01-Feb-16,,
Flat D11, Palace Road ,KT1 2JY,500000,Flat, Leasehold, Residential,01-Feb-16,,
Clovelley Lower Teddington Road, ,KT1 4EU,525000,Flat, Leasehold, Residential,01-Feb-16,2,0.1
Flat 50 Elder House,4 Water Lane,KT1 1AE,1295000,Flat, Leasehold, Residential,01-Feb-16,,
11 Kings Keep, ,KT1 2HP,400000,Flat, Leasehold, Residential,01-Feb-16,,
Flat 2 30 - 32, Thames Street ,KT1 1PE,369950,Flat, Leasehold, Residential,01-Feb-16,,
47a High Street, Hampton Wick ,KT1 4DG,456000,Flat, Leasehold, Residential,01-Feb-16,2,0.1
Flat 11 Falconry Court,7 Fairfield South,KT1 2UR,442000,Flat, Leasehold, Residential,01-Jan-16,,
13 Becketts Place, Hampton Wick ,KT1 4EQ,525000,Flat, Leasehold, Residential,01-Jan-16,2,0.1
Flat 3 30 - 32, Thames Street ,KT1 1PE,273000,Flat, Leasehold, Residential,01-Jan-16,,
69 Kingsworthy Close, ,KT1 3ER,275000,Flat, Leasehold, Residential,01-Jan-16,1,0.5
1b Cobham Road, ,KT1 3AE,375000,Flat, Leasehold, Residential,01-Jan-16,2,0.1
Flat 19 Brackendale,25 Gloucester Road,KT1 3RL,345000,Flat, Leasehold, Residential,01-Dec-15,,
2c Springfield Road, ,KT1 2SA,310000,Flat, Leasehold, Residential,01-Dec-15,1,0.6
Flat 20 Rayleigh Court, Cambridge Road ,KT1 3NF,340000,Flat, Leasehold, Residential,01-Dec-15,2,0.3
Flat 1179, Villiers Road ,KT1 3BD,300000,Flat, Leasehold, Residential,01-Dec-15,,
1 Chifney Court, Bridle Close ,KT1 2JR,270000,Flat, Leasehold, Residential,01-Dec-15,,
Flat 27 Garricks House, Wadbrook Street ,KT1 1HS,900000,Flat, Leasehold, Residential,01-Dec-15,3,0.4
Flat 4 Priory Court, Denmark Road ,KT1 2RT,239950,Flat, Leasehold, Residential,01-Dec-15,1,0.5
48 Kingsworthy Close, ,KT1 3ER,287500,Flat, Leasehold, Residential,01-Dec-15,1,0.5
Flat 7 Queens Reach, Ram Passage ,KT1 1HH,335000,Flat, Leasehold, Residential,01-Dec-15,1,0.4
8 Holyhead Court, Anglesea Road ,KT1 2ES,425000,Flat, Leasehold, Residential,01-Dec-15,,
Flat 4 Hilderly House, Winery Lane ,KT1 3GG,167500,Flat, Leasehold, Residential,01-Dec-15,,
Flat 226, Knights Park ,KT1 2QN,310000,Flat, Leasehold, Residential,01-Dec-15,,
Flat 9 Offers Court, Winery Lane ,KT1 3GQ,265100,Flat, Leasehold, Residential,01-Dec-15,1,0.5
Flat 10 Jerome House,6 Old Bridge Street,KT1 4BJ,505000,Flat, Leasehold, Residential,01-Nov-15,,
Flat 312, Uxbridge Road ,KT1 2LL,335000,Flat, Leasehold, Residential,01-Nov-15,,
2 Kings Keep, ,KT1 2HP,390000,Flat, Leasehold, Residential,01-Nov-15,,
Flat 69, Grove Crescent ,KT1 2DD,350000,Flat, Leasehold, Residential,01-Nov-15,,
Flat 8 Coronation Court, Surbiton Crescent ,KT1 2JS,375000,Flat, Leasehold, Residential,01-Nov-15,2,0.6
Flat 18 Burwell, Excelsior Close ,KT1 3EQ,280000,Flat, Leasehold, Residential,01-Nov-15,4,0.4
Flat 7 St. Nicholas House,33 Glamorgan Road,KT1 4HS,400000,Flat, Leasehold, Residential,01-Nov-15,,
Flat 46 Park Court, Park Road Hampton Wick,KT1 4AX,364250,Flat, Leasehold, Residential,01-Nov-15,2,0.2
Flat 29 Garricks House, Wadbrook Street ,KT1 1HS,620000,Flat, Leasehold, Residential,01-Nov-15,2,0.4
Flat 15 Caversham House, Lady Booth Road ,KT1 2UF,325000,Flat, Leasehold, Residential,01-Nov-15,1,0.2
Flat 9 Park Court, Park Road Hampton Wick,KT1 4AU,355000,Flat, Leasehold, Residential,01-Nov-15,,
10 Town End House, High Street ,KT1 1NA,450000,Flat, Leasehold, Residential,01-Nov-15,,
39 Elton Close, ,KT1 4EE,345000,Flat, Leasehold, Residential,01-Nov-15,2,0.3
32c Lingfield Avenue, ,KT1 2TN,279950,Flat, Leasehold, Residential,01-Nov-15,1,0.6
Flat 811, Uxbridge Road ,KT1 2LH,312000,Flat, Leasehold, Residential,01-Nov-15,,
Flat 11 Tabard House,22 Upper Teddington Road,KT1 4DT,249000,Flat, Leasehold, Residential,01-Nov-15,,
49 Chatham Road, ,KT1 3AB,400000,Flat, Leasehold, Residential,01-Oct-15,2,0.2
23a Grove Close, ,KT1 2SS,345000,Flat, Leasehold, Residential,01-Oct-15,2,0.7
12 Dudley Road, ,KT1 2UN,369950,Flat, Leasehold, Residential,01-Oct-15,2,0.5
Flat 9 Foxton, Stapleford Close ,KT1 3HN,210000,Flat, Leasehold, Residential,01-Oct-15,2,0.4
79b Surbiton Road, ,KT1 2HW,250000,Flat, Leasehold, Residential,01-Oct-15,0,0.5
Flat 5 Bushey Court, Upper Teddington Road ,KT1 4DU,550000,Flat, Leasehold, Residential,01-Oct-15,,
27b Cobham Road, ,KT1 3AE,416000,Flat, Leasehold, Residential,01-Oct-15,,
Flat 5 Winterton Court, Lower Teddington Road ,KT1 4HZ,400000,Flat, Leasehold, Residential,01-Oct-15,2,0.1
Flat 28 Ingram House, Park Road Hampton Wick,KT1 4BA,515000,Flat, Leasehold, Residential,01-Oct-15,,
Flat 66 Stevens House, Jerome Place ,KT1 1HX,790000,Flat, Leasehold, Residential,01-Oct-15,2,0.3
Flat 25 Avante Court, The Bittoms ,KT1 2AN,429000,Flat, Leasehold, Residential,01-Oct-15,,
4 Elton Close, ,KT1 4EE,315000,Flat, Leasehold, Residential,01-Oct-15,1,0.3
Flat 40 Elder House,4 Water Lane,KT1 1AE,435000,Flat, Leasehold, Residential,01-Oct-15,,
Flat 212, Uxbridge Road ,KT1 2LL,375000,Flat, Leasehold, Residential,01-Oct-15,1,0.5
Flat 3 Agar House,3 Denmark Road,KT1 2RZ,241000,Flat, Leasehold, Residential,01-Sep-15,,
12a Upper Teddington Road, ,KT1 4DY,390000,Flat, Leasehold, Residential,01-Sep-15,2,0.1
45a Fairfield South, ,KT1 2UW,423000,Flat, Leasehold, Residential,01-Sep-15,3,0.5
Ground Floor Flat44, High Street Hampton Wick,KT1 4DB,240000,Flat, Leasehold, Residential,01-Sep-15,,
13 Holyhead Court, Anglesea Road ,KT1 2ES,394000,Flat, Leasehold, Residential,01-Sep-15,,
24b Piper Road, ,KT1 3EX,272000,Flat, Leasehold, Residential,01-Sep-15,1,0.5
Flat G21, Uxbridge Road ,KT1 2LH,305000,Flat, Leasehold, Residential,01-Sep-15,,
Flat 446, Fairfield South ,KT1 2UW,321500,Flat, Leasehold, Residential (New Build),01-Sep-15,,
1 Boundary Close, ,KT1 3PE,255000,Flat, Leasehold, Residential,01-Sep-15,2,0.4
Flat 3 Jerome House,6 Old Bridge Street,KT1 4BJ,520000,Flat, Leasehold, Residential,01-Sep-15,,
17 Home Park Walk, ,KT1 2LQ,545000,Flat, Leasehold, Residential,01-Sep-15,2,0.5
Flat 4 Pinkerton Court,3 Lambourn Grove,KT1 3SG,278000,Flat, Leasehold, Residential,01-Sep-15,,
16c Lower Teddington Road, ,KT1 4EU,375000,Flat, Leasehold, Residential,01-Sep-15,2,0.1
Flat 2 Grove Lodge,1 Beaufort Road,KT1 2TH,430000,Flat, Leasehold, Residential,01-Sep-15,,
51 Woffington Close, ,KT1 4EF,330000,Flat, Leasehold, Residential,01-Sep-15,,
26 Millfield, Mill Place ,KT1 2RP,315000,Flat, Leasehold, Residential,01-Sep-15,,
Flat 11 Wren House, 2b High Street,KT1 4DP,385000,Flat, Leasehold, Residential,01-Aug-15,,
Flat 27 Avante Court, The Bittoms ,KT1 2AN,405000,Flat, Leasehold, Residential,01-Aug-15,,
Flat 23, Uxbridge Road ,KT1 2LH,282288,Flat, Leasehold, Residential,01-Aug-15,,
Flat 34, Southsea Road ,KT1 2EH,243000,Flat, Leasehold, Residential,01-Aug-15,,
Flat 26 Concord Court, Winery Lane ,KT1 3GF,345000,Flat, Leasehold, Residential,01-Aug-15,,
Flat 18 Effingham Lodge, Surbiton Crescent ,KT1 2LN,350000,Flat, Leasehold, Residential,01-Aug-15,2,0.4
Flat 346, Fairfield South ,KT1 2UW,335000,Flat, Leasehold, Residential,01-Aug-15,,
Flat 3 Witts House, Winery Lane ,KT1 3GG,280000,Flat, Leasehold, Residential,01-Aug-15,,
24 Vicarage Road, Hampton Wick ,KT1 4ED,450000,Flat, Leasehold, Residential,01-Aug-15,2,0.3
Flat 29, Grove Crescent ,KT1 2DD,349950,Flat, Leasehold, Residential,01-Aug-15,,
Ground Floor Flat 6a, Hawks Road ,KT1 3EG,378500,Flat, Leasehold, Residential,01-Jul-15,2,0.5
13 Marina Place, Hampton Wick ,KT1 4BH,342500,Flat, Leasehold, Residential,01-Jul-15,1,0.1
Flat 10 Grovelands, Palace Road ,KT1 2LE,380000,Flat, Leasehold, Residential,01-Jul-15,2,0.5
2 Mill House, Hogsmill Lane ,KT1 3AJ,805000,Flat, Leasehold, Residential,01-Jul-15,,
Flat 5 Roberts Lodge, Portland Road ,KT1 2SN,307500,Flat, Leasehold, Residential,01-Jul-15,1,0.6
8 Home Park Walk, ,KT1 2LQ,469000,Flat, Leasehold, Residential,01-Jul-15,,
Flat 6 Springfield Court, Springfield Road ,KT1 2SB,347000,Flat, Leasehold, Residential,01-Jul-15,2,0.6
Flat 6 Link House,37 Lower Teddington Road,KT1 4HQ,492000,Flat, Leasehold, Residential,01-Jul-15,,
Flat 21 Park Court, Park Road Hampton Wick,KT1 4AU,355000,Flat, Leasehold, Residential,01-Jul-15,2,0.2
Flat 7 Ravens Court, Uxbridge Road ,KT1 2LS,300000,Flat, Leasehold, Residential,01-Jul-15,1,0.4
23c Beaufort Road, ,KT1 2TH,330000,Flat, Leasehold, Residential,01-Jul-15,3,0.6
34 Auckland Road, ,KT1 3BG,375000,Flat, Leasehold, Residential,01-Jun-15,2,0.6
Flat 44, Southsea Road ,KT1 2EH,214000,Flat, Leasehold, Residential,01-Jun-15,,
Flat B21, Uxbridge Road ,KT1 2LH,385000,Flat, Leasehold, Residential,01-Jun-15,,
Flat 2 London House,105 Clarence Street,KT1 1QL,210000,Flat, Leasehold, Residential,01-Jun-15,,
Flat 25 Concord Court, Winery Lane ,KT1 3GF,325000,Flat, Leasehold, Residential,01-Jun-15,2,0.5
7 Grantchester, ,KT1 3JZ,205000,Flat, Leasehold, Residential,01-Jun-15,,
Flat 120, Surbiton Road ,KT1 2HX,412000,Flat, Leasehold, Residential,01-Jun-15,,
Flat 146, Fairfield South ,KT1 2UW,470000,Flat, Leasehold, Residential (New Build),01-Jun-15,,
Flat 5 Maryland Court,1 Lambourn Grove,KT1 3SE,238000,Flat, Leasehold, Residential,01-Jun-15,,
24a Piper Road, ,KT1 3EX,280000,Flat, Leasehold, Residential,01-Jun-15,1,0.5
9 Town End House, High Street ,KT1 1NA,446250,Flat, Leasehold, Residential,01-Jun-15,,
18a Grove Close, ,KT1 2SS,340000,Flat, Leasehold, Residential,01-Jun-15,2,0.7
Flat 10 Weston Court, Grove Crescent ,KT1 2DQ,305000,Flat, Leasehold, Residential,01-Jun-15,2,0.5
Flat 10 Ravens Court, Uxbridge Road ,KT1 2LS,335000,Flat, Leasehold, Residential,01-Jun-15,1,0.4
Flat 15 Impington, Willingham Way ,KT1 3HZ,195000,Flat, Leasehold, Residential,01-Jun-15,,
Flat 13 Avante Court, The Bittoms ,KT1 2AN,390000,Flat, Leasehold, Residential,01-Jun-15,,
Flat 34 Park Court, Park Road Hampton Wick,KT1 4AX,370000,Flat, Leasehold, Residential,01-Jun-15,2,0.2
Flat 246, Fairfield South ,KT1 2UW,425000,Flat, Leasehold, Residential (New Build),01-Jun-15,,
Flat 5 The Anglers, 59 - 61 High Street,KT1 1NB,422500,Flat, Leasehold, Residential,01-May-15,,
11 The Hermitage, Portsmouth Road ,KT1 2LZ,450000,Flat, Leasehold, Residential,01-May-15,,
Flat 7 Avante Court, The Bittoms ,KT1 2AN,320000,Flat, Leasehold, Residential,01-May-15,,
Flat 83 Avante Court, The Bittoms ,KT1 2AN,328000,Flat, Leasehold, Residential,01-May-15,,
147 Villiers Road, ,KT1 3BD,370000,Flat, Leasehold, Residential,01-May-15,2,0.6
Flat H21, Uxbridge Road ,KT1 2LH,275000,Flat, Leasehold, Residential,01-May-15,,
27a Cedars Road, Hampton Wick ,KT1 4BG,425000,Flat, Leasehold, Residential,01-May-15,2,0.3
9 Kingsworthy Close, ,KT1 3ER,249950,Flat, Leasehold, Residential,01-May-15,1,0.5
Flat 222, Surbiton Road ,KT1 2HX,465000,Flat, Leasehold, Residential,01-May-15,,
Flat 56 Stevens House, Jerome Place ,KT1 1HX,525000,Flat, Leasehold, Residential,01-May-15,2,0.3
9 Marina Place, Hampton Wick ,KT1 4BH,315000,Flat, Leasehold, Residential,01-May-15,1,0.1
Flat 4 The Elms3, Surbiton Road ,KT1 2JA,446500,Flat, Leasehold, Residential,01-May-15,,
Flat 315, Fassett Road ,KT1 2TD,320000,Flat, Leasehold, Residential,01-May-15,,
Flat 166, Norbiton Avenue ,KT1 3QP,539000,Flat, Leasehold, Residential,01-Apr-15,,
Flat 3 Lindley Court, Glamorgan Road ,KT1 4HU,200000,Flat, Leasehold, Residential,01-Apr-15,2,0.2
Flat 137, Uxbridge Road ,KT1 2LL,650000,Flat, Leasehold, Residential,01-Apr-15,,
Flat 8 Springfield Court, Springfield Road ,KT1 2SB,329950,Flat, Leasehold, Residential,01-Apr-15,2,0.6
21 Marina Place, Hampton Wick ,KT1 4BH,725000,Flat, Leasehold, Residential,01-Apr-15,2,0.1
14a Springfield Road, ,KT1 2SA,260000,Flat, Leasehold, Residential,01-Apr-15,1,0.6
Flat 40 Avante Court, The Bittoms ,KT1 2AN,495000,Flat, Leasehold, Residential,01-Apr-15,,
7 Home Park Walk, ,KT1 2LQ,390000,Flat, Leasehold, Residential,01-Apr-15,3,0.5
1 Kingsworthy Close, ,KT1 3ER,250000,Flat, Leasehold, Residential,01-Apr-15,1,0.5
Flat 59 Avante Court, The Bittoms ,KT1 2AN,395000,Flat, Leasehold, Residential,01-Apr-15,,
Flat 1 Arundale, Anglesea Road ,KT1 2EL,320000,Flat, Leasehold, Residential,01-Apr-15,,
Flat 47, Lower Teddington Road ,KT1 4ER,330000,Flat, Leasehold, Residential,01-Apr-15,,
Flat 6 Pelham Lodge, Grove Crescent ,KT1 2DG,240000,Flat, Leasehold, Residential,01-Apr-15,,
Flat 18 Stevens House, Jerome Place ,KT1 1HX,369000,Flat, Leasehold, Residential,01-Apr-15,1,0.3
Flat 9 Tabard House,22 Upper Teddington Road,KT1 4DT,250000,Flat, Leasehold, Residential,01-Apr-15,,
Flat 18 Ravens House, Wadbrook Street ,KT1 1HR,455400,Flat, Leasehold, Residential,01-Apr-15,2,0.3
Flat 21a Brockworth, Gloucester Road ,KT1 3RG,190000,Flat, Leasehold, Residential,01-Apr-15,1,0.1
10 Lower Teddington Road, ,KT1 4EU,600000,Flat, Freehold, Residential,01-Apr-15,2,0.1
Flat 3 London House,105 Clarence Street,KT1 1QL,242000,Flat, Leasehold, Residential,01-Apr-15,,
15 Grove Close, ,KT1 2SS,344950,Flat, Leasehold, Residential,01-Mar-15,2,0.7
Flat 14 Falconry Court,7 Fairfield South,KT1 2UR,296000,Flat, Leasehold, Residential,01-Mar-15,,
Flat 75 Stevens House, Jerome Place ,KT1 1HX,775000,Flat, Leasehold, Residential,01-Mar-15,3,0.3
24 Norbiton Avenue, ,KT1 3QS,920000,Flat, Freehold, Residential,01-Mar-15,4,0.1
15 Grove Close, ,KT1 2SS,344950,Flat, Leasehold, Residential,01-Mar-15,2,
Flat 14 Falconry Court,7 Fairfield South,KT1 2UR,296000,Flat, Leasehold, Residential,01-Mar-15,,
Flat 75 Stevens House, Jerome Place ,KT1 1HX,775000,Flat, Leasehold, Residential,01-Mar-15,3,
Flat 9 Pinkerton Court,3 Lambourn Grove,KT1 3SG,270000,Flat, Leasehold, Residential,01-Mar-15,,
24 Norbiton Avenue, ,KT1 3QS,920000,Flat, Freehold, Residential,01-Mar-15,4,
Flat 5 Ceres Court,29 Fife Road,KT1 1SA,245000,Flat, Leasehold, Residential,01-Mar-15,,
Flat 8 Longwater House, Portsmouth Road ,KT1 2LT,475000,Flat, Leasehold, Residential,01-Mar-15,2,0.7
Flat 7 Pelham Lodge, Grove Crescent ,KT1 2DG,225000,Flat, Leasehold, Residential,01-Mar-15,,
Flat 18 Concord Court, Winery Lane ,KT1 3GF,325000,Flat, Leasehold, Residential,01-Mar-15,2,0.5
Flat 3 Graveley, Willingham Way ,KT1 3HY,150000,Flat, Leasehold, Residential,01-Mar-15,2,0.3
44c Kings Keep, ,KT1 2HP,290000,Flat, Leasehold, Residential,01-Mar-15,,
Flat 726, The Bittoms ,KT1 2AE,610000,Flat, Leasehold, Residential,01-Mar-15,,
Flat 11 Brockworth, Gloucester Road ,KT1 3RG,250000,Flat, Leasehold, Residential,01-Feb-15,,
38 Kings Keep, ,KT1 2HP,342000,Flat, Leasehold, Residential,01-Feb-15,,
4 Sophia Court 23a, Church Road ,KT1 3DJ,415000,Flat, Leasehold, Residential,01-Feb-15,,
33b Cambridge Road, ,KT1 3NQ,249950,Flat, Leasehold, Residential,01-Feb-15,1,0.3
Flat 16 Harston, Burritt Road ,KT1 3HT,203760,Flat, Leasehold, Residential,01-Jan-15,3,0.3
Flat 2 Concord Court, Winery Lane ,KT1 3GF,330000,Flat, Leasehold, Residential,01-Jan-15,2,0.5
Flat 3 St. Nicholas Court, Surbiton Road ,KT1 2HT,315000,Flat, Leasehold, Residential,01-Jan-15,2,0.6
49 Kingsworthy Close, ,KT1 3ER,275000,Flat, Leasehold, Residential,01-Jan-15,1,0.5
Flat 55 Park Court, Park Road Hampton Wick,KT1 4AX,340000,Flat, Leasehold, Residential,01-Jan-15,,
Flat 16 Avante Court, The Bittoms ,KT1 2AN,418000,Flat, Leasehold, Residential,01-Jan-15,,
Flat 19 Rayleigh Court, Cambridge Road ,KT1 3NF,285000,Flat, Leasehold, Residential,01-Jan-15,2,0.3
2 Boundary Close, ,KT1 3PE,250000,Flat, Leasehold, Residential (New Build),01-Jan-15,2,0.4
Flat 451, Homersham Road ,KT1 3PL,335000,Flat, Leasehold, Residential (New Build),01-Jan-15,,
15 The Hermitage, Portsmouth Road ,KT1 2LZ,390000,Flat, Leasehold, Residential,01-Jan-15,,
Flat 5 St. Nicholas Court, Surbiton Road ,KT1 2HT,320000,Flat, Leasehold, Residential,01-Jan-15,2,0.6
Flat 9 Stevens House, Jerome Place ,KT1 1HX,865000,Flat, Leasehold, Residential,01-Dec-14,,
17 Auckland Road, ,KT1 3BG,370000,Flat, Leasehold, Residential,01-Dec-14,2,0.6
10 Salamander Quay, ,KT1 4JB,577500,Flat, Leasehold, Residential,01-Dec-14,,
Flat 5 London House,105 Clarence Street,KT1 1QL,265500,Flat, Leasehold, Residential,01-Dec-14,,
Flat 8 Falconry Court,7 Fairfield South,KT1 2UR,275000,Flat, Leasehold, Residential,01-Dec-14,,
Flat 65 Park Court, Park Road Hampton Wick,KT1 4AX,343600,Flat, Leasehold, Residential,01-Dec-14,2,0.2
Flat 1 2a, Station Road Hampton Wick,KT1 4HG,495000,Flat, Leasehold, Residential,01-Dec-14,,
Flat 14 Anglesea House, Anglesea Road ,KT1 2ET,313250,Flat, Leasehold, Residential,01-Dec-14,1,0.6
1 Marquis Court,4 Anglesea Road,KT1 2EN,420000,Flat, Leasehold, Residential,01-Dec-14,,
Flat 328, Springfield Road ,KT1 2SA,290000,Flat, Leasehold, Residential,01-Dec-14,,
Flat 2 Ravens Court, Uxbridge Road ,KT1 2LS,295000,Flat, Leasehold, Residential,01-Dec-14,1,0.4
Flat 15 Tabard House,22 Upper Teddington Road,KT1 4DT,187000,Flat, Leasehold, Residential,01-Dec-14,,
Flat 12 The Anglers 59-61, High Street ,KT1 1NB,405000,Flat, Leasehold, Residential,01-Dec-14,,
Flat 4 Cascadia House,152 Cambridge Road,KT1 3LE,290000,Flat, Leasehold, Residential,01-Dec-14,,
Flat 25 Oakington, Eureka Road ,KT1 3JF,135800,Flat, Leasehold, Residential,01-Dec-14,1,0.3
Flat 54 Garricks House, Wadbrook Street ,KT1 1HS,600000,Flat, Leasehold, Residential,01-Dec-14,2,0.4
Flat 15 Conington, Somerset Road ,KT1 3EN,210000,Flat, Leasehold, Residential,01-Dec-14,3,0.4
Flat 19 Falconry Court,7 Fairfield South,KT1 2UR,242000,Flat, Leasehold, Residential,01-Nov-14,,
11 Boundary Close, ,KT1 3PE,281000,Flat, Leasehold, Residential,01-Nov-14,,
Flat 6 Douglas Court,17 Geneva Road,KT1 2TP,360000,Flat, Leasehold, Residential,01-Nov-14,,
Flat 4 Winterton Court, Lower Teddington Road ,KT1 4HZ,385000,Flat, Leasehold, Residential,01-Nov-14,2,0.1
Flat 7 Winterton Court, Lower Teddington Road ,KT1 4HZ,467500,Flat, Leasehold, Residential,01-Nov-14,2,0.1
Flat F4, Cambridge Road ,KT1 3JX,250000,Flat, Leasehold, Residential,01-Nov-14,,
Flat 420, Surbiton Road ,KT1 2HX,399950,Flat, Leasehold, Residential,01-Nov-14,,
Flat 22 Anglesea House, Anglesea Road ,KT1 2ET,365000,Flat, Leasehold, Residential,01-Nov-14,2,0.6
Flat 33 Garricks House, Wadbrook Street ,KT1 1HS,900000,Flat, Leasehold, Residential,01-Nov-14,2,0.4
Flat 22 Garricks House, Wadbrook Street ,KT1 1HS,1150000,Flat, Leasehold, Residential,01-Nov-14,2,0.4
Flat 7 Ingram House, Park Road Hampton Wick,KT1 4BA,570000,Flat, Leasehold, Residential,01-Nov-14,3,0.3
Flat 5 Garricks House, Wadbrook Street ,KT1 1HS,600000,Flat, Leasehold, Residential,01-Nov-14,2,0.4
1 Town End House, High Street ,KT1 1NA,423500,Flat, Leasehold, Residential,01-Oct-14,,
49 Cambridge Gardens, ,KT1 3NN,240000,Flat, Leasehold, Residential,01-Oct-14,,
15 Boundary Close, ,KT1 3PE,290000,Flat, Leasehold, Residential,01-Oct-14,,
24 Dudley Road, ,KT1 2UN,400000,Flat, Leasehold, Residential,01-Oct-14,2,0.5
14 St Johns Road, Hampton Wick ,KT1 4AN,430000,Flat, Leasehold, Residential,01-Oct-14,2,0.1
Flat 628, Springfield Road ,KT1 2SA,260000,Flat, Leasehold, Residential,01-Oct-14,,
121 Villiers Road, ,KT1 3AY,440000,Flat, Leasehold, Residential,01-Oct-14,3,0.7
24 Marina Place, Hampton Wick ,KT1 4BH,1500000,Flat, Leasehold, Residential,01-Oct-14,,
Flat 8 Churchdown, Wessex Close ,KT1 3RQ,250000,Flat, Leasehold, Residential,01-Oct-14,3,0.1
Flat 67 Avante Court, The Bittoms ,KT1 2AN,365000,Flat, Leasehold, Residential,01-Oct-14,,
Flat 1 Cascadia House,152 Cambridge Road,KT1 3LE,285000,Flat, Leasehold, Residential,01-Oct-14,,
8 The Limes,12 Anglesea Road,KT1 2EW,236000,Flat, Leasehold, Residential,01-Oct-14,,
Flat 251, Homersham Road ,KT1 3PL,395000,Flat, Leasehold, Residential,01-Oct-14,,
Flat 8 Ceres Court,29 Fife Road,KT1 1SA,228000,Flat, Leasehold, Residential,01-Oct-14,,
Flat 114, Southsea Road ,KT1 2EH,735000,Flat, Leasehold, Residential,01-Oct-14,,
4 Thameside Place,26 Lower Teddington Road,KT1 4HE,995000,Flat, Leasehold, Residential,01-Oct-14,,
Flat 13 Pinkerton Court,3 Lambourn Grove,KT1 3SG,320000,Flat, Leasehold, Residential,01-Oct-14,,
Flat 4 Pyramid Court,99 Hawks Road,KT1 3DX,270000,Flat, Leasehold, Residential,01-Oct-14,,
Flat 5444, Kingston Road ,KT1 3PB,200000,Flat, Leasehold, Residential,01-Oct-14,,
4 Thameside Place,26 Lower Teddington Road,KT1 4HE,995000,Flat, Leasehold, Residential,01-Oct-14,,
Flat 13 Pinkerton Court,3 Lambourn Grove,KT1 3SG,320000,Flat, Leasehold, Residential,01-Oct-14,,
Flat 4 Pyramid Court,99 Hawks Road,KT1 3DX,270000,Flat, Leasehold, Residential,01-Oct-14,,
Flat 5444, Kingston Road ,KT1 3PB,200000,Flat, Leasehold, Residential,01-Oct-14,,
Flat 35, Denmark Road ,KT1 2SD,299950,Flat, Leasehold, Residential,01-Oct-14,,
422b Kingston Road, ,KT1 3PB,225000,Flat, Leasehold, Residential,01-Sep-14,2,0.5
16f Lower Teddington Road, ,KT1 4EU,386500,Flat, Leasehold, Residential,01-Sep-14,,
6 Grantchester, ,KT1 3JZ,125000,Flat, Leasehold, Residential,01-Sep-14,,
Flat 4 Burwell, Excelsior Close ,KT1 3EQ,125000,Flat, Leasehold, Residential,01-Sep-14,2,0.4
Flat 15 Falconry Court,7 Fairfield South,KT1 2UR,285000,Flat, Leasehold, Residential,01-Sep-14,,
53 Marina Place, Hampton Wick ,KT1 4BH,650000,Flat, Leasehold, Residential,01-Sep-14,2,0.1
15 Uxbridge Road, ,KT1 2LH,590000,Flat, Leasehold, Residential,01-Sep-14,2,0.4
92 Cambridge Gardens, ,KT1 3NW,175000,Flat, Leasehold, Residential,01-Sep-14,1,0.2
Flat 42 Park Court, Park Road Hampton Wick,KT1 4AX,357000,Flat, Leasehold, Residential,01-Sep-14,2,0.2
7 Holyhead Court, Anglesea Road ,KT1 2ES,399950,Flat, Leasehold, Residential,01-Sep-14,,
12 Haylett Gardens, ,KT1 2EP,137300,Flat, Leasehold, Residential,01-Sep-14,,
Studio 2 1 - 2, Southsea Road ,KT1 2EH,340000,Flat, Leasehold, Residential,01-Sep-14,,
2 Marquis Court,4 Anglesea Road,KT1 2EN,385000,Flat, Leasehold, Residential,01-Sep-14,,
Flat 4 14a, Eden Street ,KT1 1BB,215000,Flat, Leasehold, Residential,01-Sep-14,,
Flat 7 Windsor Court,9 Palace Road,KT1 2LD,358000,Flat, Leasehold, Residential,01-Sep-14,,
Flat 35 Avante Court, The Bittoms ,KT1 2AN,308000,Flat, Leasehold, Residential,01-Sep-14,,
Flat 75 Avante Court, The Bittoms ,KT1 2AN,325000,Flat, Leasehold, Residential,01-Aug-14,,
Flat 55 Garricks House, Wadbrook Street ,KT1 1HS,912500,Flat, Leasehold, Residential,01-Aug-14,2,0.4
Flat 1 Harston, Burritt Road ,KT1 3HT,160000,Flat, Leasehold, Residential,01-Aug-14,,
Flat 18 Ingram House, Park Road Hampton Wick,KT1 4BA,375000,Flat, Leasehold, Residential,01-Aug-14,3,0.3
Flat 2 Ingram House, Park Road Hampton Wick,KT1 4BA,405000,Flat, Leasehold, Residential,01-Aug-14,,
45 Vicarage Road, Hampton Wick ,KT1 4EB,435000,Flat, Leasehold, Residential,01-Aug-14,5,0.2
Flat 26, Fairfield West ,KT1 2NR,200000,Flat, Leasehold, Residential,01-Aug-14,,
45d Vicarage Road, Hampton Wick ,KT1 4EB,355000,Flat, Leasehold, Residential,01-Aug-14,,
